LAYER,SL_GEW_NAM,SL_GEW_KNZ,GEB_HQ,DATUM_BEOB,LINK,longitude,latitude
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.04129467418807,48.74461508032995
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.042111837068369,48.74457124908134
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.043896926718102,48.74460294418515
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.046977420331016,48.744932135676436
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.04926277550443,48.74549088367447
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.051140418645135,48.74602935296609
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.053042952341105,48.74660175174833
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.054483257249407,48.74733902477136
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.055614336917895,48.74824246260289
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.056109642568607,48.749039462661216
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.056097962746142,48.7496635964584
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.055278529418452,48.749825586665196
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.05438128867499,48.75005442808353
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.053460435627848,48.75018183110046
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.053757999898352,48.7506397962813
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.054318882721095,48.750661265723124
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.054986551575597,48.75043055567385
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.055476277422258,48.750164627854524
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.056449392394631,48.749970149527925
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.057518547478905,48.75009699423467
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.058430566440132,48.75044186656923
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.05850079996447,48.75077986135389
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.057932346204584,48.75116325775394
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.057280084101096,48.7519339830324
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.057112205738514,48.752725555830075
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.057362883102499,48.75296379352101
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.058104254368399,48.75288550377193
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.058501735885198,48.75209580958232
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.058998701489305,48.75144189616842
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.059569659674002,48.75092355229402
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.060600089469716,48.750392084045394
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.061398728724136,48.74997681829995
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.062122395885263,48.74947658311198
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.062694247525853,48.74890760955705
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.063260139931526,48.74865914164808
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.064377022144615,48.747588470643485
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.065248654995848,48.74735935322013
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.06616912209623,48.74724871338658
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.067502992625432,48.746854607998486
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.068860487963034,48.74656190621273
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.069402362378684,48.74622886462266
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.070161658861876,48.74655554229917
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.070958290921318,48.74624141422502
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.07050818404399,48.74574851119514
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.069647489687084,48.74538728372871
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.069559477781908,48.74462737790507
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.069084212172294,48.74411740459191
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.06868825947294,48.74345623560336
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.068949550577342,48.74312092915943
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.069851262854257,48.74263893936963
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.071289803416274,48.74209380465305
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.071652771732374,48.74177617753458
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.072138597405088,48.741712612544475
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.072904366470084,48.741685024344456
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.073626251903713,48.74126905617176
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.074248256571313,48.740734172187636
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.074083673784818,48.73997365058754
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.073860955781178,48.739600704342436
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.07436038414578,48.73879491088177
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.07358971510539,48.73909239283103
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.07245858180988,48.739572557726596
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.070617026907115,48.739844532203314
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.068651681684992,48.7399130159142
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.065925594946872,48.73973911836115
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.064451713990927,48.73944035497077
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.062143756275601,48.738729889667724
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.057678864725645,48.73742814631601
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.053847306135273,48.73636762286073
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.051562293126477,48.73580896949084
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.047977403962422,48.73520579707168
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.04517739155845,48.73491269777098
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.044285803768592,48.734854697420296
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.041352877815301,48.73484720834392
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.038035172256663,48.73495453143082
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.03191008681128,48.73515631770906
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.026805648542874,48.73533265280393
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.024813296588755,48.73548452458227
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.022738892916344,48.73592247803324
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.022148097174586,48.736136789587476
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.022114411552275,48.73655827605968
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.021804796863162,48.7367412348539
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.021163981706708,48.73690450796077
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020774895904077,48.73723862730015
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020688234183998,48.73776088853388
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020373363581836,48.7382137391249
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020214439469456,48.73851606427219
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.02074606101406,48.73872303014186
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.021453925401612,48.73904959847267
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.02215851552318,48.739544837024326
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.022931464824495,48.740462428720065
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.022622818085638,48.740594783808426
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.021957748884695,48.740690372553765
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.021528443433025,48.74046739282213
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.021101755542785,48.74010948633226
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020469082988052,48.739851042858824
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.019937450136332,48.73964406690397
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.01881628036778,48.73958392094031
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.0186145606784,48.73946410172944
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.018946767152277,48.7394331876208
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.019331941799523,48.73930149809925
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020019524121441,48.73935796154925
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020606761686286,48.739329209590835
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020890237228944,48.7391797758161
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.020563290050756,48.738940808795775
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.019827317391927,48.73874895938137
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.018834337439243,48.738656165781634
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.017583722624217,48.7386961251415
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.016404351009847,48.73900661549357
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.016041711371862,48.73929032365332
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.016165600018539,48.739476969973396
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.01652265791948,48.73948001344788
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.017187032801118,48.73941819702221
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.017799772438748,48.739389678558396
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.017949180431838,48.73957653271377
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.017561046451215,48.739860035511896
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.016606239366174,48.740425502570034
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.015491800231466,48.741327030093345
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.015043063621984,48.74209927089374
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.015139144242452,48.74240376717152
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.015519082598187,48.74254198544859
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.015354196231883,48.74314793983132
Historische Hochwasserereignisse,Donau,1E+15,HQ 40,25.08.2005,http://www.wwa-in.bayern.de/,11.015012082881903,48.7436848853633
